season,scheduled_date,attendance,market,name,team_code,team_id,alias,current_division,points_game,win,opp_market,opp_name,opp_code,opp_id,opp_alias,opp_current_division,opp_points_game
1996,,,,,121,,,,85,FALSE,,,506107,,,,98
1996,,,,,200,,,,72,FALSE,,,770,,,,78
1996,,,,,511,,,,78,FALSE,,,50,,,,86
1996,,,,,570,,,,64,FALSE,,,78,,,,77
1996,,,,,267,,,,77,FALSE,,,717,,,,80
1996,,,,,9500,,,,65,FALSE,,,78,,,,67
1997,,,,,538,,,,51,FALSE,,,242,,,,56
1997,,,,,516,,,,66,FALSE,,,142,,,,68
1997,,,,,805,,,,87,FALSE,,,8911,,,,100
1997,,,,,764,,,,78,FALSE,,,717,,,,97
1997,,,,,679,,,,65,FALSE,,,681,,,,70
1997,,,,,662,,,,57,FALSE,,,605,,,,59
1997,,,,,642,,,,75,FALSE,,,607,,,,76
1997,,,,,580,,,,59,FALSE,,,581,,,,61
1997,,,,,179,,,,70,FALSE,,,20,,,,81
1997,,,,,787,,,,67,FALSE,,,211,,,,73
1997,,,,,8597,,,,137,FALSE,,,264,,,,141
1997,,,,,118,,,,48,FALSE,,,266,,,,69
1997,,,,,69,,,,83,FALSE,,,24,,,,88
1997,,,,,266,,,,61,FALSE,,,602,,,,73
1997,,,,,264,,,,71,FALSE,,,337,,,,85
1997,,,,,238,,,,61,FALSE,,,76,,,,79
1997,,,,,238,,,,64,FALSE,,,227,,,,67
1997,,,,,190,,,,64,FALSE,,,784,,,,74
1997,,,,,185,,,,81,FALSE,,,258,,,,91
1998,,,,,755,,,,61,FALSE,,,322,,,,68
1998,,,,,801,,,,62,FALSE,,,805,,,,79
1998,,,,,713,,,,61,FALSE,,,69,,,,64
1998,,,,,713,,,,95,FALSE,,,163,,,,102
1998,,,,,686,,,,55,FALSE,,,190,,,,61
1998,,,,,344,,,,74,FALSE,,,438,,,,79
1998,,,,,300,,,,70,FALSE,,,296,,,,73
1998,,,,,297,,,,56,FALSE,,,614,,,,94
1998,,,,,745,,,,67,FALSE,,,565,,,,74
1998,,,,,8398,,,,65,FALSE,,,601,,,,86
1999,,0,,,2730,,,,60,FALSE,,,787,,,,77
1999,,0,,,805,,,,51,FALSE,,,802,,,,94
1999,,0,,,787,,,,66,FALSE,,,784,,,,68
1999,,0,,,759,,,,55,FALSE,,,577,,,,73
1999,,0,,,679,,,,82,FALSE,,,453,,,,97
1999,,0,,,662,,,,74,FALSE,,,656,,,,88
1999,,0,,,571,,,,68,FALSE,,,656,,,,89
1999,,0,,,118,,,,65,FALSE,,,161,,,,67
1999,,0,,,938,,,,59,FALSE,,,258,,,,72
1999,,0,,,344,,,,61,FALSE,,,348,,,,67
1999,,0,,,85,,,,58,FALSE,,,9500,,,,69
1999,,0,,,267,,,,79,FALSE,,,713,,,,88
1999,,0,,,267,,,,69,FALSE,,,163,,,,70
1999,,0,,,265,,,,42,FALSE,,,19,,,,65
2000,,0,,,614,,,,60,FALSE,,,296,,,,70
2000,,0,,,24400,,,,68,FALSE,,,492,,,,73
2000,,0,,,570,,,,50,FALSE,,,282,,,,52
2000,,0,,,570,,,,61,FALSE,,,267,,,,78
2000,,0,,,23624,,,,77,FALSE,,,18,,,,96
2000,,0,,,296,,,,81,FALSE,,,300,,,,84
2000,,0,,,479,,,,89,FALSE,,,319,,,,94
2000,,0,,,38,,,,62,FALSE,,,60,,,,77
2000,,0,,,420,,,,68,FALSE,,,267,,,,70
2000,,0,,,372,,,,69,FALSE,,,266,,,,72
2000,,0,,,800,,,,67,FALSE,,,801,,,,82
2000,,0,,,337,,,,77,FALSE,,,344,,,,85
2000,,0,,,605,,,,47,FALSE,,,151,,,,58
2000,,0,,,1064,,,,70,FALSE,,,571,,,,96
2000,,0,,,85,,,,58,FALSE,,,247,,,,66
2000,,0,,,85,,,,49,FALSE,,,242,,,,64
2000,,0,,,552,,,,70,FALSE,,,247,,,,74
2000,,0,,,530,,,,58,FALSE,,,552,,,,80
2000,,0,,,376,,,,67,FALSE,,,602,,,,71
2000,,0,,,662,,,,69,FALSE,,,152,,,,79
2000,,0,,,662,,,,67,FALSE,,,571,,,,80
2000,,0,,,336,,,,72,FALSE,,,179,,,,75
2000,,0,,,266,,,,80,FALSE,,,602,,,,92
2000,,0,,,801,,,,85,FALSE,,,798,,,,90
2000,,0,,,152,,,,51,FALSE,,,656,,,,69
2000,,0,,,486,,,,56,FALSE,,,238,,,,58
2000,,0,,,118,,,,70,FALSE,,,266,,,,82
1999,,0,,,1115,,,,52,FALSE,,,2694,,,,67
1999,,0,,,679,,,,53,FALSE,,,479,,,,90
1999,,0,,,615,,,,51,FALSE,,,602,,,,73
1996,,,,,442,,,,54,FALSE,,,787,,,,63
1996,,,,,453,,,,50,FALSE,,,211,,,,73
1996,,,,,800,,,,54,FALSE,,,805,,,,58
1997,,,,,679,,,,44,FALSE,,,479,,,,84
1998,,,,,376,,,,57,FALSE,,,38,,,,100
1998,,,,,242,,,,65,FALSE,,,530,,,,70
1998,,,,,516,,,,62,FALSE,,,142,,,,82
1998,,,,,1255,,,,51,FALSE,,,69,,,,72
1999,,0,,,146,,,,78,FALSE,,,282,,,,90
1996,,,,,161,,,,64,FALSE,,,118,,,,95
1997,,,,,633,,,,85,FALSE,,,20,,,,96
1997,,,,,602,,,,87,FALSE,,,38,,,,90
1997,,,,,258,,,,51,FALSE,,,322,,,,92
1996,,,,,583,,,,48,FALSE,,,1064,,,,80
1996,,,,,73,,,,73,FALSE,,,119,,,,76
1998,,,,,570,,,,65,FALSE,,,633,,,,75
1998,,,,,16142,,,,70,FALSE,,,938,,,,76
1998,,,,,8911,,,,69,FALSE,,,618,,,,73
1996,,,,,9500,,,,54,FALSE,,,267,,,,90
1996,,,,,161,,,,45,FALSE,,,266,,,,65
1996,,,,,686,,,,59,FALSE,,,185,,,,90
1996,,,,,137,,,,60,FALSE,,,492,,,,69
1997,,,,,679,,,,66,FALSE,,,453,,,,85
1997,,,,,2694,,,,92,FALSE,,,300,,,,95
1997,,,,,238,,,,58,FALSE,,,76,,,,97
1997,,,,,614,,,,70,FALSE,,,120,,,,80
1997,,,,,583,,,,70,FALSE,,,467,,,,79
1997,,,,,50,,,,62,FALSE,,,163,,,,78
1997,,,,,962,,,,47,FALSE,,,814,,,,81
1997,,,,,45,,,,70,FALSE,,,621,,,,79
1998,,,,,511,,,,76,FALSE,,,152,,,,80
1998,,,,,322,,,,65,FALSE,,,479,,,,70
1998,,,,,1340,,,,59,FALSE,,,814,,,,64
1998,,,,,8911,,,,73,FALSE,,,805,,,,86
1998,,,,,1196,,,,67,FALSE,,,8911,,,,79
1998,,,,,238,,,,63,FALSE,,,486,,,,99
1998,,,,,755,,,,75,FALSE,,,300,,,,81
1998,,,,,376,,,,53,FALSE,,,266,,,,73
1999,,0,,,118,,,,78,FALSE,,,38,,,,82
2000,,0,,,516,,,,68,FALSE,,,142,,,,72
2000,,0,,,486,,,,60,FALSE,,,633,,,,85
1998,,,,,588,,,,61,FALSE,,,442,,,,80
1998,,,,,547,,,,64,FALSE,,,168,,,,77
2000,,0,,,424,,,,62,FALSE,,,142,,,,63
1999,,0,,,777,,,,70,FALSE,,,621,,,,86
1997,,,,,53,,,,70,FALSE,,,1066,,,,81
1996,,,,,1064,,,,80,FALSE,,,571,,,,92
1996,,,,,211,,,,65,FALSE,,,633,,,,82
1997,,,,,511,,,,61,FALSE,,,152,,,,90
2000,,0,,,45,,,,84,FALSE,,,717,,,,85
2000,,0,,,379,,,,61,FALSE,,,1133,,,,69
1998,,,,,160,,,,57,FALSE,,,177,,,,74
1996,,,,,120,,,,65,FALSE,,,344,,,,72
1996,,,,,160,,,,71,FALSE,,,53,,,,78
1996,,,,,160,,,,70,FALSE,,,506107,,,,83
1996,,,,,163,,,,95,FALSE,,,69,,,,98
1996,,,,,588,,,,61,FALSE,,,319,,,,87
1996,,,,,442,,,,63,FALSE,,,787,,,,67
1996,,,,,279,,,,76,FALSE,,,2730,,,,90
1996,,,,,712,,,,75,FALSE,,,319,,,,82
1996,,,,,376,,,,74,FALSE,,,268,,,,76
1996,,,,,376,,,,65,FALSE,,,60,,,,88
1996,,,,,801,,,,62,FALSE,,,793,,,,67
1996,,,,,621,,,,66,FALSE,,,548,,,,85
1996,,,,,642,,,,54,FALSE,,,789,,,,87
1996,,,,,686,,,,65,FALSE,,,239,,,,85
1997,,,,,467,,,,91,FALSE,,,1064,,,,97
1997,,,,,120,,,,69,FALSE,,,577,,,,88
1997,,,,,378,,,,62,FALSE,,,379,,,,86
1997,,,,,24,,,,81,FALSE,,,330,,,,88
1998,,,,,773,,,,56,FALSE,,,185,,,,68
1998,,,,,717,,,,68,FALSE,,,713,,,,81
1998,,,,,717,,,,65,FALSE,,,151,,,,77
1998,,,,,336,,,,87,FALSE,,,633,,,,99
1998,,,,,588,,,,68,FALSE,,,564,,,,74
1998,,,,,18422,,,,51,FALSE,,,330,,,,98
1998,,,,,548,,,,88,FALSE,,,789,,,,103
1998,,,,,211,,,,78,FALSE,,,938,,,,87
1998,,,,,1066,,,,64,FALSE,,,1036,,,,75
1998,,,,,479,,,,65,FALSE,,,2730,,,,67
1998,,,,,1036,,,,80,FALSE,,,506061,,,,83
1998,,,,,160,,,,68,FALSE,,,296,,,,79
1998,,,,,424,,,,72,FALSE,,,121,,,,78
1999,,0,,,530,,,,60,FALSE,,,242,,,,68
1999,,0,,,530,,,,66,FALSE,,,168,,,,74
1999,,0,,,1255,,,,57,FALSE,,,583,,,,86
1999,,0,,,800,,,,66,FALSE,,,798,,,,67
1999,,0,,,793,,,,67,FALSE,,,802,,,,72
1999,,0,,,777,,,,63,FALSE,,,24,,,,95
1999,,0,,,588,,,,62,FALSE,,,319,,,,71
1999,,0,,,583,,,,68,FALSE,,,238,,,,75
1999,,0,,,564,,,,53,FALSE,,,588,,,,55
1999,,0,,,126,,,,53,FALSE,,,364,,,,61
1999,,0,,,8597,,,,55,FALSE,,,501982,,,,81
1999,,0,,,1196,,,,71,FALSE,,,1066,,,,74
1999,,0,,,50,,,,75,FALSE,,,8981,,,,76
1999,,0,,,9500,,,,69,FALSE,,,475,,,,77
1999,,0,,,265,,,,56,FALSE,,,8398,,,,63
2000,,0,,,547,,,,68,FALSE,,,85,,,,69
2000,,0,,,46,,,,90,FALSE,,,452,,,,93
2000,,0,,,385,,,,57,FALSE,,,265,,,,79
2000,,0,,,808,,,,67,FALSE,,,73,,,,84
2000,,0,,,633,,,,75,FALSE,,,336,,,,80
2000,,0,,,238,,,,48,FALSE,,,777,,,,64
2000,,0,,,227,,,,71,FALSE,,,45,,,,83
2000,,0,,,79,,,,47,FALSE,,,1340,,,,55
2000,,0,,,567,,,,84,FALSE,,,142,,,,94
2000,,0,,,38,,,,74,FALSE,,,602,,,,88
2000,,0,,,712,,,,59,FALSE,,,787,,,,81
2000,,0,,,452,,,,61,FALSE,,,564,,,,75
2000,,0,,,364,,,,80,FALSE,,,296,,,,90
2000,,0,,,662,,,,57,FALSE,,,656,,,,71
2000,,0,,,330,,,,89,FALSE,,,656,,,,99
2000,,0,,,268,,,,75,FALSE,,,38,,,,85
2000,,0,,,268,,,,59,FALSE,,,602,,,,86
2000,,0,,,778,,,,60,FALSE,,,424,,,,76
1999,,0,,,336,,,,77,FALSE,,,506033,,,,81
1999,,0,,,282,,,,75,FALSE,,,479,,,,84
1999,,0,,,268,,,,57,FALSE,,,801,,,,74
1999,,0,,,770,,,,71,FALSE,,,764,,,,72
1999,,0,,,21852,,,,49,FALSE,,,179,,,,76
1999,,0,,,713,,,,74,FALSE,,,200,,,,83
1999,,0,,,577,,,,67,FALSE,,,614,,,,73
1999,,0,,,577,,,,74,FALSE,,,120,,,,79
1999,,0,,,442,,,,51,FALSE,,,681,,,,59
1999,,0,,,1194,,,,63,FALSE,,,503153,,,,89
1999,,0,,,242,,,,62,FALSE,,,69,,,,69
1999,,0,,,168,,,,44,FALSE,,,247,,,,46
1999,,0,,,9500,,,,69,FALSE,,,78,,,,81
1996,,,,,385,,,,46,FALSE,,,46,,,,48
1998,,,,,242,,,,45,FALSE,,,168,,,,46
1998,,,,,160,,,,75,FALSE,,,297,,,,102
1999,,0,,,336,,,,61,FALSE,,,633,,,,91
2000,,0,,,755,,,,86,FALSE,,,300,,,,94
2000,,0,,,139,,,,53,FALSE,,,394,,,,60
1999,,0,,,570,,,,61,FALSE,,,713,,,,75
1996,,,,,570,,,,62,FALSE,,,789,,,,85
1996,,,,,538,,,,55,FALSE,,,265,,,,66
1998,,,,,962,,,,37,FALSE,,,737,,,,65
1997,,,,,336,,,,53,FALSE,,,16142,,,,61
1997,,,,,679,,,,61,FALSE,,,20,,,,81
1997,,,,,211,,,,76,FALSE,,,16,,,,87
1997,,,,,764,,,,76,FALSE,,,453,,,,79
1997,,,,,344,,,,45,FALSE,,,614,,,,65
1997,,,,,50,,,,68,FALSE,,,151,,,,88
1998,,,,,9500,,,,66,FALSE,,,547,,,,76
1998,,,,,803,,,,56,FALSE,,,793,,,,79
1998,,,,,1254,,,,79,FALSE,,,938,,,,89
1998,,,,,324,,,,72,FALSE,,,504563,,,,75
1998,,,,,247,,,,73,FALSE,,,547,,,,86
1998,,,,,123,,,,65,FALSE,,,548,,,,109
1998,,,,,755,,,,60,FALSE,,,137,,,,69
2000,,0,,,238,,,,53,FALSE,,,777,,,,64
1999,,0,,,583,,,,74,FALSE,,,163,,,,82
1999,,0,,,238,,,,53,FALSE,,,486,,,,55
1999,,0,,,385,,,,60,FALSE,,,46,,,,89
2000,,0,,,185,,,,54,FALSE,,,258,,,,60
1999,,0,,,160,,,,52,FALSE,,,424,,,,77
1998,,,,,8398,,,,71,FALSE,,,18,,,,73
1998,,,,,46,,,,66,FALSE,,,320,,,,84
1996,,,,,179,,,,56,FALSE,,,211,,,,76
1996,,,,,16,,,,68,FALSE,,,239,,,,81
1996,,,,,60,,,,70,FALSE,,,118,,,,86
1996,,,,,585,,,,39,FALSE,,,177,,,,41
1996,,,,,282,,,,77,FALSE,,,581,,,,79
1996,,,,,319,,,,67,FALSE,,,787,,,,78
1996,,,,,420,,,,71,FALSE,,,50,,,,104
1996,,,,,453,,,,49,FALSE,,,258,,,,55
1996,,,,,567,,,,74,FALSE,,,504017,,,,76
1996,,,,,266,,,,60,FALSE,,,602,,,,73
1996,,,,,373,,,,66,FALSE,,,784,,,,75
1996,,,,,805,,,,34,FALSE,,,800,,,,54
1996,,,,,615,,,,72,FALSE,,,161,,,,87
1996,,,,,679,,,,44,FALSE,,,570,,,,70
1997,,,,,511,,,,59,FALSE,,,808,,,,75
1997,,,,,805,,,,81,FALSE,,,793,,,,82
1997,,,,,773,,,,63,FALSE,,,322,,,,69
1997,,,,,602,,,,75,FALSE,,,38,,,,100
1997,,,,,580,,,,70,FALSE,,,530,,,,72
1997,,,,,161,,,,89,FALSE,,,38,,,,109
1997,,,,,8597,,,,85,FALSE,,,803,,,,90
1997,,,,,114,,,,73,FALSE,,,286,,,,84
1997,,,,,385,,,,66,FALSE,,,452,,,,79
1997,,,,,239,,,,58,FALSE,,,322,,,,61
1998,,,,,21852,,,,73,FALSE,,,16142,,,,84
1998,,,,,801,,,,53,FALSE,,,802,,,,59
1998,,,,,662,,,,51,FALSE,,,239,,,,88
1998,,,,,479,,,,81,FALSE,,,755,,,,84
1998,,,,,190,,,,59,FALSE,,,139,,,,63
1998,,,,,438,,,,63,FALSE,,,377,,,,82
1998,,,,,126,,,,65,FALSE,,,364,,,,83
1999,,0,,,21852,,,,54,FALSE,,,242,,,,90
1999,,0,,,717,,,,58,FALSE,,,789,,,,74
1999,,0,,,673,,,,49,FALSE,,,789,,,,52
1999,,0,,,615,,,,50,FALSE,,,602,,,,53
1999,,0,,,8597,,,,80,FALSE,,,618,,,,91
1999,,0,,,50,,,,61,FALSE,,,69,,,,67
1999,,0,,,85,,,,40,FALSE,,,9500,,,,46
1999,,0,,,325,,,,68,FALSE,,,1434,,,,74
1999,,0,,,265,,,,60,FALSE,,,325,,,,62
1999,,0,,,227,,,,45,FALSE,,,656,,,,73
1999,,0,,,200,,,,62,FALSE,,,656,,,,66
1999,,0,,,146,,,,47,FALSE,,,642,,,,49
2000,,0,,,247,,,,53,FALSE,,,168,,,,76
2000,,0,,,673,,,,71,FALSE,,,45,,,,72
2000,,0,,,602,,,,63,FALSE,,,266,,,,66
2000,,0,,,511,,,,69,FALSE,,,570,,,,71
2000,,0,,,420,,,,52,FALSE,,,673,,,,57
2000,,0,,,19,,,,66,FALSE,,,807,,,,111
2000,,0,,,1194,,,,61,FALSE,,,348,,,,82
2000,,0,,,377,,,,69,FALSE,,,64,,,,90
2000,,0,,,373,,,,75,FALSE,,,20,,,,83
2000,,0,,,227,,,,69,FALSE,,,486,,,,71
2000,,0,,,1066,,,,62,FALSE,,,1196,,,,65
2000,,0,,,21852,,,,65,FALSE,,,325,,,,85
2000,,0,,,53,,,,68,FALSE,,,348,,,,77
2000,,0,,,45,,,,71,FALSE,,,621,,,,83
2000,,0,,,45,,,,53,FALSE,,,789,,,,74
2000,,0,,,547,,,,54,FALSE,,,607,,,,84
2000,,0,,,511,,,,62,FALSE,,,24,,,,91
2000,,0,,,420,,,,82,FALSE,,,330,,,,94
2000,,0,,,377,,,,69,FALSE,,,396,,,,85
2000,,0,,,601,,,,68,FALSE,,,580,,,,72
2000,,0,,,442,,,,65,FALSE,,,787,,,,71
2000,,0,,,292,,,,45,FALSE,,,770,,,,62
2000,,0,,,805,,,,70,FALSE,,,801,,,,71
1999,,0,,,267,,,,74,FALSE,,,764,,,,77
1999,,0,,,633,,,,69,FALSE,,,211,,,,70
1999,,0,,,621,,,,61,FALSE,,,486,,,,75
1999,,0,,,614,,,,57,FALSE,,,348,,,,64
1999,,0,,,581,,,,55,FALSE,,,137,,,,58
1999,,0,,,548,,,,80,FALSE,,,662,,,,81
1999,,0,,,242,,,,54,FALSE,,,530,,,,70
1999,,0,,,238,,,,59,FALSE,,,227,,,,78
1999,,0,,,19,,,,76,FALSE,,,520,,,,77
1999,,0,,,53,,,,57,FALSE,,,297,,,,74
1999,,0,,,46,,,,71,FALSE,,,452,,,,74
1996,,,,,179,,,,62,FALSE,,,633,,,,69
1996,,,,,492,,,,77,FALSE,,,296,,,,79
1996,,,,,265,,,,47,FALSE,,,18,,,,60
1997,,,,,467,,,,96,FALSE,,,45,,,,98
1997,,,,,588,,,,69,FALSE,,,787,,,,79
1998,,,,,9500,,,,70,FALSE,,,475,,,,95
1998,,,,,717,,,,77,FALSE,,,45,,,,80
1999,,0,,,420,,,,54,FALSE,,,789,,,,74
2000,,0,,,467,,,,101,FALSE,,,8486,,,,109
1997,,,,,325,,,,78,FALSE,,,373,,,,80
1997,,,,,185,,,,72,FALSE,,,258,,,,74
1997,,,,,53,,,,49,FALSE,,,577,,,,101
1998,,,,,200,,,,79,FALSE,,,394,,,,83
1998,,,,,962,,,,50,FALSE,,,814,,,,104
1996,,,,,520,,,,45,FALSE,,,807,,,,70
1997,,,,,1115,,,,60,FALSE,,,585,,,,63
1997,,,,,242,,,,67,FALSE,,,538,,,,76
1997,,,,,793,,,,75,FALSE,,,798,,,,77
1997,,,,,190,,,,64,FALSE,,,16142,,,,72
1997,,,,,46,,,,73,FALSE,,,320,,,,84
1998,,,,,50,,,,63,FALSE,,,163,,,,98
1998,,,,,264,,,,107,FALSE,,,577,,,,110
1998,,,,,376,,,,64,FALSE,,,615,,,,73
2000,,0,,,185,,,,59,FALSE,,,239,,,,79
1999,,0,,,24,,,,72,FALSE,,,717,,,,79
2000,,0,,,805,,,,67,FALSE,,,801,,,,71
1999,,0,,,297,,,,64,FALSE,,,53,,,,76
1999,,0,,,266,,,,61,FALSE,,,38,,,,66
2000,,0,,,377,,,,76,FALSE,,,755,,,,101
1996,,,,,121,,,,59,FALSE,,,778,,,,78
1996,,,,,64,,,,51,FALSE,,,807,,,,70
1996,,,,,376,,,,88,FALSE,,,60,,,,89
1996,,,,,200,,,,58,FALSE,,,713,,,,78
1996,,,,,1066,,,,66,FALSE,,,8911,,,,77
1996,,,,,520,,,,48,FALSE,,,807,,,,61
1996,,,,,16142,,,,82,FALSE,,,20,,,,98
1996,,,,,238,,,,88,FALSE,,,486,,,,95
1996,,,,,247,,,,66,FALSE,,,78,,,,67
1996,,,,,373,,,,60,FALSE,,,16142,,,,63
1997,,,,,642,,,,78,FALSE,,,267,,,,93
1997,,,,,438,,,,69,FALSE,,,577,,,,77
1997,,,,,438,,,,76,FALSE,,,118,,,,86
1997,,,,,424,,,,59,FALSE,,,492,,,,66
1997,,,,,424,,,,65,FALSE,,,492,,,,81
1997,,,,,378,,,,67,FALSE,,,1255,,,,74
1997,,,,,200,,,,62,FALSE,,,713,,,,87
1998,,,,,8597,,,,74,FALSE,,,618,,,,100
1998,,,,,385,,,,58,FALSE,,,320,,,,66
1998,,,,,76,,,,48,FALSE,,,69,,,,68
1998,,,,,962,,,,56,FALSE,,,501167,,,,70
1998,,,,,662,,,,65,FALSE,,,548,,,,83
1998,,,,,336,,,,69,FALSE,,,784,,,,91
