season,market,name,team_code,team_id,alias,division,current_division,wins,losses,ties
1956,,,296,,,1,,0,0,0
1903,,,137,,,1,,7,0,0
1908,,,137,,,1,,12,0,0
2006,,,28593,,,1,,0,0,0
1908,,,479,,,1,,13,0,0
1933,,,479,,,1,,16,0,0
1904,,,755,,,1,,1,0,0
1934,,,479,,,1,,18,1,0
1920,,,479,,,1,,12,1,0
1919,,,479,,,1,,16,1,0
1939,,,479,,,1,,18,1,0
1907,,,137,,,1,,24,2,0
1906,,,137,,,1,,21,2,0
1906,,,479,,,1,,6,2,0
1907,,,755,,,1,,4,2,0
1947,,,268,,,1,,28,3,0
1909,,,137,,,1,,10,3,0
1895,,,137,,,1,,5,3,0
1904,,,137,,,1,,9,3,0
1945,,,479,,,1,,19,3,0
1929,,,479,,,1,,13,3,0
1916,,,479,,,1,,9,3,0
1905,,,755,,,1,,1,3,0
1896,,,137,,,1,,7,4,0
1915,,,479,,,1,,11,4,0
1932,,,479,,,1,,11,4,0
1925,,,479,,,1,,10,4,0
1935,,,479,,,1,,14,4,0
1947,,,479,,,1,,22,4,0
1909,,,479,,,1,,13,4,0
1950,,,479,,,1,,12,4,0
1906,,,755,,,1,,6,4,0
1928,,,79,,,1,,9,5,0
1932,,,79,,,1,,10,5,0
1965,,,503905,,,1,,24,5,0
1910,,,137,,,1,,13,5,0
1914,,,137,,,1,,20,5,0
1905,,,137,,,1,,5,5,0
1921,,,479,,,1,,8,5,0
1928,,,479,,,1,,13,5,0
1961,,,479,,,1,,20,5,0
1962,,,479,,,1,,18,5,0
1959,,,479,,,1,,22,5,0
1907,,,479,,,1,,9,5,0
1910,,,479,,,1,,8,5,0
1908,,,755,,,1,,6,5,0
1911,,,755,,,1,,8,5,0
1943,,,755,,,1,,12,5,0
1955,,,755,,,1,,17,5,0
1909,,,755,,,1,,7,5,0
1919,,,755,,,1,,13,5,0
1961,,,258,,,1,,18,6,0
1960,,,258,,,1,,19,6,0
1947,,,46,,,1,,17,6,0
1940,,,79,,,1,,11,6,0
1933,,,79,,,1,,6,6,0
1952,,,503905,,,1,,18,6,0
1972,,,503905,,,1,,21,6,0
1912,,,137,,,1,,20,6,0
1920,,,137,,,1,,14,6,0
1918,,,137,,,1,,21,6,0
1911,,,137,,,1,,12,6,0
1923,,,137,,,1,,11,6,0
1940,,,479,,,1,,13,6,0
1930,,,479,,,1,,9,6,0
1918,,,479,,,1,,5,6,0
1927,,,479,,,1,,8,6,0
1931,,,479,,,1,,6,6,0
1942,,,479,,,1,,16,6,0
1914,,,479,,,1,,6,6,0
1936,,,479,,,1,,10,6,0
1922,,,479,,,1,,6,6,0
1932,,,755,,,1,,11,6,0
1913,,,755,,,1,,7,6,0
1949,,,755,,,1,,17,6,0
1950,,,258,,,1,,15,7,0
1938,,,264,,,1,,14,7,0
1950,,,46,,,1,,19,7,0
1934,,,79,,,1,,14,7,0
1953,,,503905,,,1,,18,7,0
1955,,,503905,,,1,,20,7,0
1967,,,503905,,,1,,20,7,0
1958,,,503905,,,1,,20,7,0
1938,,,119,,,1,,12,7,0
2003,,,28593,,,1,,20,7,0
1941,,,479,,,1,,12,7,0
1924,,,479,,,1,,7,7,0
1944,,,479,,,1,,14,7,0
1926,,,479,,,1,,4,7,0
1943,,,479,,,1,,7,7,0
1928,,,755,,,1,,11,7,0
1923,,,755,,,1,,12,7,0
1914,,,755,,,1,,6,7,0
1941,,,79,,,1,,10,8,0
1938,,,79,,,1,,9,8,0
1946,,,79,,,1,,12,8,0
1937,,,79,,,1,,7,8,0
1929,,,79,,,1,,6,8,0
1936,,,79,,,1,,10,8,0
1927,,,79,,,1,,3,8,0
1951,,,503905,,,1,,19,8,0
1944,,,137,,,1,,7,8,0
1919,,,137,,,1,,27,8,0
1951,,,479,,,1,,17,8,0
1948,,,479,,,1,,12,8,0
1955,,,479,,,1,,10,8,0
1923,,,479,,,1,,8,8,0
1937,,,479,,,1,,16,8,0
1958,,,479,,,1,,15,8,0
1929,,,755,,,1,,8,8,0
1924,,,755,,,1,,10,8,0
1912,,,755,,,1,,4,8,0
1940,,,755,,,1,,9,8,0
1917,,,755,,,1,,9,8,0
1962,,,258,,,1,,16,9,0
1963,,,258,,,1,,15,9,0
1937,,,264,,,1,,10,9,0
1948,,,46,,,1,,13,9,0
1952,,,46,,,1,,13,9,0
1954,,,320,,,1,,14,9,0
1931,,,79,,,1,,9,9,0
1935,,,79,,,1,,18,9,0
1939,,,79,,,1,,9,9,0
1945,,,79,,,1,,8,9,0
1956,,,503905,,,1,,19,9,0
1968,,,503905,,,1,,18,9,0
1937,,,119,,,1,,12,9,0
1930,,,137,,,1,,8,9,0
1922,,,137,,,1,,6,9,0
1927,,,137,,,1,,8,9,0
1913,,,137,,,1,,19,9,0
2005,,,28593,,,1,,19,9,0
2002,,,28593,,,1,,19,9,0
1913,,,479,,,1,,6,9,0
1968,,,479,,,1,,12,9,0
1953,,,479,,,1,,9,9,0
1946,,,479,,,1,,12,9,0
1956,,,755,,,1,,12,9,0
1931,,,755,,,1,,10,9,0
1918,,,755,,,1,,9,9,0
1925,,,755,,,1,,7,9,0
1944,,,755,,,1,,10,9,0
1948,,,755,,,1,,13,9,0
1947,,,258,,,1,,10,10,0
1966,,,258,,,1,,12,10,0
1948,,,258,,,1,,16,10,0
1968,,,258,,,1,,14,10,0
1936,,,264,,,1,,8,10,0
1947,,,79,,,1,,10,10,0
1966,,,503905,,,1,,16,10,0
1964,,,503905,,,1,,21,10,0
1962,,,503905,,,1,,19,10,0
1917,,,137,,,1,,14,10,0
1963,,,479,,,1,,17,10,0
1917,,,479,,,1,,1,10,0
1965,,,479,,,1,,18,10,0
1964,,,479,,,1,,16,10,0
1926,,,755,,,1,,5,10,0
1922,,,755,,,1,,8,10,0
1953,,,755,,,1,,12,10,0
1957,,,755,,,1,,11,10,0
1938,,,755,,,1,,11,10,0
1942,,,755,,,1,,9,10,0
1972,,,258,,,1,,14,11,0
1959,,,258,,,1,,15,11,0
1967,,,258,,,1,,14,11,0
1964,,,258,,,1,,12,11,0
1949,,,320,,,1,,9,11,0
1953,,,320,,,1,,15,11,0
1978,,,503905,,,1,,18,11,0
1977,,,503905,,,1,,16,11,0
1963,,,503905,,,1,,15,11,0
1936,,,119,,,1,,9,11,0
1926,,,137,,,1,,6,11,0
1938,,,137,,,1,,9,11,0
1925,,,137,,,1,,5,11,0
1915,,,137,,,1,,15,11,0
1928,,,137,,,1,,5,11,0
1912,,,479,,,1,,1,11,0
1957,,,479,,,1,,10,11,0
1938,,,479,,,1,,11,11,0
1949,,,479,,,1,,8,11,0
1952,,,479,,,1,,9,11,0
1960,,,479,,,1,,12,11,0
1915,,,755,,,1,,6,11,0
1933,,,755,,,1,,7,11,0
1934,,,755,,,1,,7,11,0
1947,,,755,,,1,,10,11,0
1949,,,258,,,1,,12,12,0
1971,,,258,,,1,,11,12,0
1951,,,46,,,1,,9,12,0
1942,,,79,,,1,,6,12,0
1971,,,503905,,,1,,16,12,0
1960,,,503905,,,1,,14,12,0
1976,,,503905,,,1,,14,12,0
1957,,,503905,,,1,,14,12,0
1961,,,503905,,,1,,14,12,0
1937,,,137,,,1,,6,12,0
1929,,,137,,,1,,5,12,0
1911,,,479,,,1,,1,12,0
1969,,,479,,,1,,12,12,0
1936,,,755,,,1,,6,12,0
1930,,,755,,,1,,6,12,0
1927,,,755,,,1,,10,12,0
1916,,,755,,,1,,7,12,0
1958,,,258,,,1,,13,13,0
1984,,,79,,,1,,15,13,0
1969,,,503905,,,1,,17,13,0
1959,,,503905,,,1,,12,13,0
1973,,,503905,,,1,,13,13,0
1956,,,479,,,1,,8,13,0
1954,,,479,,,1,,7,13,0
1958,,,755,,,1,,9,13,0
1941,,,755,,,1,,10,13,0
1959,,,755,,,1,,11,13,0
1939,,,755,,,1,,7,13,0
1935,,,755,,,1,,6,13,0
1949,,,46,,,1,,11,14,0
1951,,,320,,,1,,11,14,0
1947,,,320,,,1,,9,14,0
1952,,,320,,,1,,13,14,0
1943,,,79,,,1,,6,14,0
1948,,,79,,,1,,8,14,0
1974,,,503905,,,1,,12,14,0
1981,,,503905,,,1,,14,14,0
1950,,,503905,,,1,,16,14,0
1924,,,137,,,1,,3,14,0
1935,,,137,,,1,,6,14,0
1945,,,137,,,1,,6,14,0
2001,,,28593,,,1,,13,14,0
2004,,,28593,,,1,,16,14,0
1954,,,755,,,1,,8,14,0
1946,,,755,,,1,,11,14,0
1965,,,258,,,1,,9,15,0
1930,,,79,,,1,,6,15,0
1944,,,79,,,1,,3,15,0
1979,,,503905,,,1,,13,15,0
1980,,,503905,,,1,,14,15,0
1933,,,137,,,1,,5,15,0
1916,,,137,,,1,,13,15,0
1931,,,137,,,1,,2,15,0
1921,,,137,,,1,,15,15,0
1939,,,137,,,1,,5,15,0
1920,,,755,,,1,,3,15,0
1990,,,79,,,1,,11,16,0
1970,,,503905,,,1,,9,16,0
1936,,,137,,,1,,4,16,0
1932,,,137,,,1,,2,16,0
1940,,,137,,,1,,4,16,0
1967,,,479,,,1,,8,16,0
1966,,,479,,,1,,10,16,0
1948,,,320,,,1,,7,17,0
1987,,,79,,,1,,11,17,0
1982,,,79,,,1,,11,17,0
1945,,,755,,,1,,10,17,0
1937,,,755,,,1,,4,17,0
1969,,,258,,,1,,8,18,0
1986,,,79,,,1,,10,18,0
1975,,,503905,,,1,,9,18,0
1954,,,503905,,,1,,9,18,0
1934,,,137,,,1,,2,18,0
1921,,,755,,,1,,1,18,0
1983,,,503905,,,1,,8,19,0
1943,,,137,,,1,,1,19,0
1983,,,79,,,1,,8,20,0
1984,,,503905,,,1,,6,20,0
1941,,,137,,,1,,1,20,0
1970,,,479,,,1,,5,20,0
1970,,,258,,,1,,4,21,0
1950,,,320,,,1,,2,21,0
1989,,,79,,,1,,7,21,0
1942,,,137,,,1,,0,21,0
1985,,,79,,,1,,9,22,0
1982,,,503905,,,1,,4,22,0
1991,,,79,,,1,,5,23,0
1988,,,79,,,1,,4,23,0
1990,Augusta University,,39,f2a7be6c-1989-41a1-8b14-e544e7a725dc,,1,,14,16,0
1985,Augusta University,,39,f2a7be6c-1989-41a1-8b14-e544e7a725dc,,1,,13,17,0
1987,Augusta University,,39,f2a7be6c-1989-41a1-8b14-e544e7a725dc,,1,,8,18,0
1986,Augusta University,,39,f2a7be6c-1989-41a1-8b14-e544e7a725dc,,1,,8,19,0
1984,Augusta University,,39,f2a7be6c-1989-41a1-8b14-e544e7a725dc,,1,,8,20,0
1989,Augusta University,,39,f2a7be6c-1989-41a1-8b14-e544e7a725dc,,1,,8,20,0
1988,Augusta University,,39,f2a7be6c-1989-41a1-8b14-e544e7a725dc,,1,,5,23,0
1911,Colorado School of Mines,,155,5d335fb9-b3b0-428e-a0c4-db03d6c6b07f,,1,,6,1,0
1921,Colorado School of Mines,,155,5d335fb9-b3b0-428e-a0c4-db03d6c6b07f,,1,,8,2,0
1920,Colorado School of Mines,,155,5d335fb9-b3b0-428e-a0c4-db03d6c6b07f,,1,,5,2,0
1912,Colorado School of Mines,,155,5d335fb9-b3b0-428e-a0c4-db03d6c6b07f,,1,,5,3,0
1913,Colorado School of Mines,,155,5d335fb9-b3b0-428e-a0c4-db03d6c6b07f,,1,,3,3,0
