game_id,season,status,coverage,neutral_site,scheduled_date,gametime,conference_game,tournament,tournament_type,tournament_round,tournament_game_no,attendance,lead_changes,times_tied,periods,possession_arrow,venue_id,venue_city,venue_state,venue_address,venue_zip,venue_country,venue_name,venue_capacity,home_team,name,market,team_id,alias,league_id,league_name,league_alias,conf_id,conf_name,conf_alias,division_id,division_name,division_alias,logo_large,logo_medium,logo_small,opp_name,opp_market,opp_id,opp_alias,opp_league_id,opp_league_name,opp_league_alias,opp_conf_id,opp_conf_name,opp_conf_alias,opp_division_id,opp_division_name,opp_division_alias,opp_logo_large,opp_logo_medium,opp_logo_small,win,points_game,minutes,field_goals_made,field_goals_att,field_goals_pct,three_points_made,three_points_att,three_points_pct,two_points_made,two_points_att,two_points_pct,blocked_att,free_throws_made,free_throws_att,free_throws_pct,offensive_rebounds,defensive_rebounds,rebounds,assists,turnovers,steals,blocks,assists_turnover_ratio,personal_fouls,ejections,foulouts,points,fast_break_pts,second_chance_pts,team_turnovers,points_off_turnovers,team_rebounds,flagrant_fouls,player_tech_fouls,team_tech_fouls,coach_tech_fouls,opp_points_game,opp_minutes,opp_field_goals_made,opp_field_goals_att,opp_field_goals_pct,opp_three_points_made,opp_three_points_att,opp_three_points_pct,opp_two_points_made,opp_two_points_att,opp_two_points_pct,opp_blocked_att,opp_free_throws_made,opp_free_throws_att,opp_free_throws_pct,opp_offensive_rebounds,opp_defensive_rebounds,opp_rebounds,opp_assists,opp_turnovers,opp_steals,opp_blocks,opp_assists_turnover_ratio,opp_personal_fouls,opp_ejections,opp_foulouts,opp_points,opp_fast_break_pts,opp_second_chance_pts,opp_team_turnovers,opp_points_off_turnovers,opp_team_rebounds,opp_flagrant_fouls,opp_player_tech_fouls,opp_team_tech_fouls,opp_coach_tech_fouls,created
4069f80e-04f0-4f69-a563-86014bbe95a0,2015,closed,full,,12/3/2015,12/3/2015 3:00:00,,,,,,1281,6,6,2,620d5944-7156-47d3-aad5-5b3824557d03,68e1c556-3a3d-4806-ba8f-c9407831cb71,San Diego,CA,5998 Alcala Park,92110,USA,Jenny Craig Pavilion,5100,TRUE,Toreros,San Diego,620d5944-7156-47d3-aad5-5b3824557d03,USD,cd4268ee-07aa-4c4d-a435-ec44ad2c76cb,NCAA MEN,NCAAM,c664ceee-1dc0-4743-a6d8-11fbdfb87f61,West Coast,WCC,c5a8d640-5093-4044-851d-2c562e929994,NCAA Division I,D1,https://www.ncaa.com/sites/default/files/images/logos/schools/s/san-diego.200.png,https://www.ncaa.com/sites/default/files/images/logos/schools/s/san-diego.70.png,https://www.ncaa.com/sites/default/files/images/logos/schools/s/san-diego.24.png,Flames,Bethesda,78434f3d-9b05-480c-b79f-4f228a0a155b,BETH,cd4268ee-07aa-4c4d-a435-ec44ad2c76cb,NCAA MEN,NCAAM,53630324-fd56-42e6-ba4c-dc040a31dfff,Division I West Region,D1-WEST,efdde904-b901-44af-a234-17712072b213,NCCAA,NCCAA,,,,TRUE,71,3:20:00,24,65,36.9,4,30,13.3,20,35,0.571,4,19,34,55.9,15,22,37,6,13,11,4,0.46,15,0,,71,0,17,0,31,7,0,0,0,0,56,3:20:00,23,51,45.1,6,18,33.3,17,33,0.515,4,4,9,44.4,5,29,34,12,23,6,4,0.52,27,0,,56,0,3,0,10,4,0,0,0,0,2/20/2018 15:48:54
7160a0e0-bbc3-46ad-afc6-e4e6b5b90a51,2015,closed,full,,1/17/2016,1/17/2016 2:00:00,,,,,,2205,0,0,2,78434f3d-9b05-480c-b79f-4f228a0a155b,ee6551cc-e4b5-4e08-906e-6184b5f6ab71,Stockton,CA,1178 Larry Heller Dr,95211,USA,Alex G. Spanos Center,6150,TRUE,Tigers,Pacific,c9570e17-c4fd-41e6-908a-1a083941319d,PAC,cd4268ee-07aa-4c4d-a435-ec44ad2c76cb,NCAA MEN,NCAAM,c664ceee-1dc0-4743-a6d8-11fbdfb87f61,West Coast,WCC,c5a8d640-5093-4044-851d-2c562e929994,NCAA Division I,D1,https://www.ncaa.com/sites/default/files/images/logos/schools/p/pacific.200.png,https://www.ncaa.com/sites/default/files/images/logos/schools/p/pacific.70.png,https://www.ncaa.com/sites/default/files/images/logos/schools/p/pacific.24.png,Flames,Bethesda,78434f3d-9b05-480c-b79f-4f228a0a155b,BETH,cd4268ee-07aa-4c4d-a435-ec44ad2c76cb,NCAA MEN,NCAAM,53630324-fd56-42e6-ba4c-dc040a31dfff,Division I West Region,D1-WEST,efdde904-b901-44af-a234-17712072b213,NCCAA,NCCAA,,,,TRUE,88,3:20:00,35,61,57.4,12,22,54.5,23,39,0.59,4,6,8,75,8,34,42,26,17,11,5,1.53,16,0,,88,21,16,1,30,3,0,0,0,0,30,3:20:00,12,53,22.6,1,14,7.1,11,39,0.282,5,5,9,55.6,5,15,20,9,21,10,4,0.43,13,0,,30,0,0,1,5,4,0,0,1,0,2/20/2018 15:48:54
320ccf7a-8a32-4ce6-a561-10687985c6a6,2015,closed,full,,12/22/2015,12/22/2015 20:00:00,,,,,,1236,2,0,2,1abe928d-aec9-4133-9193-617b96ddaf42,7ba1442a-fd2a-463f-82c0-c5ac49a7de0d,San Jose,CA,290 South 7th Street,95192,USA,Event Center Arena,4600,TRUE,Spartans,San Jose State,29de4e5e-ee5b-48c8-bffc-1972e7da1e30,SJSU,cd4268ee-07aa-4c4d-a435-ec44ad2c76cb,NCAA MEN,NCAAM,93a776e4-d390-48e1-95bb-74945457366a,Mountain West,MWC,c5a8d640-5093-4044-851d-2c562e929994,NCAA Division I,D1,https://www.ncaa.com/sites/default/files/images/logos/schools/s/san-jose-st.200.png,https://www.ncaa.com/sites/default/files/images/logos/schools/s/san-jose-st.70.png,https://www.ncaa.com/sites/default/files/images/logos/schools/s/san-jose-st.24.png,Warriors,Life Pacific College,1abe928d-aec9-4133-9193-617b96ddaf42,LPC,cd4268ee-07aa-4c4d-a435-ec44ad2c76cb,NCAA MEN,NCAAM,f4ab39df-c699-4fea-a74e-b49b92de381b,Division II West Region,D2-WEST,efdde904-b901-44af-a234-17712072b213,NCCAA,NCCAA,,,,TRUE,128,3:20:00,44,76,57.9,9,18,50,35,58,0.603,1,31,35,88.6,10,36,46,28,11,14,6,2.55,10,0,,128,26,16,0,36,4,0,0,0,0,66,3:20:00,25,70,35.7,8,28,28.6,17,42,0.405,6,8,10,80,8,21,29,12,22,4,1,0.55,27,0,,66,2,8,1,6,1,0,0,0,0,2/20/2018 15:48:53
1a689aee-fec2-49df-822d-993e2826744b,2017,closed,full,FALSE,12/10/2017,12/10/2017 0:00:00,FALSE,,,,,2500,0,0,2,db6e1cab-3fa3-4a93-a673-8b2a358ff4bf,4e8822d1-ce0f-4d79-a022-6a0f3acea194,Killeen,TX,Fort Hood,76544,USA,Fort Hood,,TRUE,Bears,Baylor,db6e1cab-3fa3-4a93-a673-8b2a358ff4bf,BAY,cd4268ee-07aa-4c4d-a435-ec44ad2c76cb,NCAA MEN,NCAAM,2853cf4d-6d62-4ec6-8e2c-d69f7a01a557,Big 12,BIG12,c5a8d640-5093-4044-851d-2c562e929994,NCAA Division I,D1,https://www.ncaa.com/sites/default/files/images/logos/schools/b/baylor.200.png,https://www.ncaa.com/sites/default/files/images/logos/schools/b/baylor.70.png,https://www.ncaa.com/sites/default/files/images/logos/schools/b/baylor.24.png,Saints,Randall,08d2a0d1-323b-4cd3-92f0-63d1a0d446e5,RU,cd4268ee-07aa-4c4d-a435-ec44ad2c76cb,NCAA MEN,NCAAM,927bd1b3-e518-4c4e-8c90-6a37fa2fede8,Association of Christian College Athletics Conference,ACCA,efdde904-b901-44af-a234-17712072b213,NCCAA,NCCAA,,,,TRUE,105,3:20:00,40,70,57.1,13,31,41.9,27,39,69.2,2,12,16,75,12,33,45,31,13,5,7,2.38,15,0,0,105,8,21,0,16,0,0,0,0,0,82,3:20:00,30,63,47.6,10,22,45.5,20,41,48.8,7,12,19,63.2,3,16,19,18,9,8,2,2,14,0,0,82,2,7,0,19,3,0,0,0,0,2/20/2018 13:03:23
6314105c-8456-4b35-bfbf-1ec04749ff09,2017,closed,full,FALSE,12/9/2017,12/9/2017 21:00:00,FALSE,,,,,3491,8,7,2,2a997096-a381-469d-a7e9-9e031c8b071c,a3e5c367-dc92-4b58-b9be-a3b7de0187f8,Terre Haute,IN,200 North 8th Street,47809,USA,Hulman Center,10200,TRUE,Sycamores,Indiana State,2a997096-a381-469d-a7e9-9e031c8b071c,INST,cd4268ee-07aa-4c4d-a435-ec44ad2c76cb,NCAA MEN,NCAAM,1d9219c1-696c-42a2-b1be-e8b438795521,Missouri Valley,MVC,c5a8d640-5093-4044-851d-2c562e929994,NCAA Division I,D1,https://www.ncaa.com/sites/default/files/images/logos/schools/i/indiana-st.200.png,https://www.ncaa.com/sites/default/files/images/logos/schools/i/indiana-st.70.png,https://www.ncaa.com/sites/default/files/images/logos/schools/i/indiana-st.24.png,Greyhounds,Indianapolis,e8ca4d5e-b370-4cda-be1b-c8970089449e,,,,,,,,,,,,,,TRUE,79,3:20:00,24,57,42.1,11,26,42.3,13,31,41.9,1,20,33,60.6,12,24,36,9,10,8,3,0.9,18,0,1,79,8,15,0,19,2,0,0,0,0,75,3:20:00,26,56,46.4,8,22,36.4,18,34,52.9,3,15,17,88.2,5,26,31,15,12,3,1,1.25,27,0,0,75,0,3,0,16,1,0,0,0,0,2/20/2018 13:03:24
6f5cd292-3a1a-4677-9c78-0549fbfc4b72,2016,closed,full,FALSE,11/12/2016,11/12/2016 22:00:00,FALSE,,,,,1481,0,0,2,29de4e5e-ee5b-48c8-bffc-1972e7da1e30,7ba1442a-fd2a-463f-82c0-c5ac49a7de0d,San Jose,CA,290 South 7th Street,95192,USA,Event Center Arena,4600,TRUE,Spartans,San Jose State,29de4e5e-ee5b-48c8-bffc-1972e7da1e30,SJSU,cd4268ee-07aa-4c4d-a435-ec44ad2c76cb,NCAA MEN,NCAAM,93a776e4-d390-48e1-95bb-74945457366a,Mountain West,MWC,c5a8d640-5093-4044-851d-2c562e929994,NCAA Division I,D1,https://www.ncaa.com/sites/default/files/images/logos/schools/s/san-jose-st.200.png,https://www.ncaa.com/sites/default/files/images/logos/schools/s/san-jose-st.70.png,https://www.ncaa.com/sites/default/files/images/logos/schools/s/san-jose-st.24.png,Eagles,West Coast Baptist,cfc291a9-fa68-46da-ae39-9ddbe7c7e771,WCBC,cd4268ee-07aa-4c4d-a435-ec44ad2c76cb,NCAA MEN,NCAAM,52a34b5e-87c9-41d7-9ca4-01addf1cbd45,National Christian Association of Intercollegiate Athletics,NCAIA,61e6815a-c9c0-4fa3-821a-c36ff02e91b7,NCAIA,NCAIA,,,,TRUE,109,3:20:00,36,64,56.3,12,29,41.4,24,35,68.571,0,25,36,69.4,16,34,50,20,17,13,1,1.18,23,0,0,109,10,12,0,33,0,0,0,0,0,70,3:20:00,23,60,38.3,8,28,28.6,15,32,46.875,1,16,24,66.7,6,15,21,13,20,6,0,0.65,30,0,2,70,2,3,0,15,4,0,0,0,0,2/20/2018 16:40:00
8240dd38-a137-492d-9468-4f9b11ac4927,2016,closed,full,FALSE,12/10/2016,12/10/2016 22:00:00,FALSE,,,,,1323,0,0,2,1abe928d-aec9-4133-9193-617b96ddaf42,7ba1442a-fd2a-463f-82c0-c5ac49a7de0d,San Jose,CA,290 South 7th Street,95192,USA,Event Center Arena,4600,TRUE,Spartans,San Jose State,29de4e5e-ee5b-48c8-bffc-1972e7da1e30,SJSU,cd4268ee-07aa-4c4d-a435-ec44ad2c76cb,NCAA MEN,NCAAM,93a776e4-d390-48e1-95bb-74945457366a,Mountain West,MWC,c5a8d640-5093-4044-851d-2c562e929994,NCAA Division I,D1,https://www.ncaa.com/sites/default/files/images/logos/schools/s/san-jose-st.200.png,https://www.ncaa.com/sites/default/files/images/logos/schools/s/san-jose-st.70.png,https://www.ncaa.com/sites/default/files/images/logos/schools/s/san-jose-st.24.png,Warriors,Life Pacific College,1abe928d-aec9-4133-9193-617b96ddaf42,LPC,cd4268ee-07aa-4c4d-a435-ec44ad2c76cb,NCAA MEN,NCAAM,f4ab39df-c699-4fea-a74e-b49b92de381b,Division II West Region,D2-WEST,efdde904-b901-44af-a234-17712072b213,NCCAA,NCCAA,,,,TRUE,109,3:20:00,39,71,54.9,13,25,52,26,46,56.522,0,18,24,75,18,29,47,30,11,9,2,2.73,15,0,0,109,8,24,0,22,1,0,0,0,0,70,3:20:00,22,54,40.7,13,28,46.4,9,26,34.615,2,13,14,92.9,1,16,17,16,15,6,0,1.07,21,0,0,70,3,2,1,7,1,0,0,0,0,2/20/2018 16:40:00
7a006cde-d6a6-4529-afb5-525888f2dce8,2017,closed,full,FALSE,2/14/2018,2/14/2018 1:00:00,FALSE,,,,,17981,1,1,2,d9897e34-6549-4169-a402-7d108e9a62d9,41b29fbb-906a-4aca-b261-6a816ca96428,Omaha,NE,455 North 10th Street,68102,USA,CenturyLink Center,18320,TRUE,Bluejays,Creighton,7d797407-623e-476d-b299-46de4275414d,CREI,cd4268ee-07aa-4c4d-a435-ec44ad2c76cb,NCAA MEN,NCAAM,d07bc93e-c84c-44a9-a99d-c213bd0014d6,Big East,BIGEAST,c5a8d640-5093-4044-851d-2c562e929994,NCAA Division I,D1,https://www.ncaa.com/sites/default/files/images/logos/schools/c/creighton.200.png,https://www.ncaa.com/sites/default/files/images/logos/schools/c/creighton.70.png,https://www.ncaa.com/sites/default/files/images/logos/schools/c/creighton.24.png,Beavers,Bemidji State,d9897e34-6549-4169-a402-7d108e9a62d9,,,,,,,,,,,,,,TRUE,94,3:20:00,38,73,52.1,13,36,36.1,25,37,67.6,3,5,8,62.5,9,37,46,23,6,11,9,3.83,6,0,0,94,16,9,0,24,2,0,0,0,0,46,3:20:00,17,63,27,6,25,24,11,38,28.9,9,6,8,75,6,27,33,8,16,3,3,0.5,6,0,0,46,2,3,0,6,3,0,0,0,0,2/20/2018 13:03:26
4069f80e-04f0-4f69-a563-86014bbe95a0,2015,closed,full,,12/3/2015,12/3/2015 3:00:00,,,,,,1281,6,6,2,620d5944-7156-47d3-aad5-5b3824557d03,68e1c556-3a3d-4806-ba8f-c9407831cb71,San Diego,CA,5998 Alcala Park,92110,USA,Jenny Craig Pavilion,5100,FALSE,Flames,Bethesda,78434f3d-9b05-480c-b79f-4f228a0a155b,BETH,cd4268ee-07aa-4c4d-a435-ec44ad2c76cb,NCAA MEN,NCAAM,53630324-fd56-42e6-ba4c-dc040a31dfff,Division I West Region,D1-WEST,efdde904-b901-44af-a234-17712072b213,NCCAA,NCCAA,,,,Toreros,San Diego,620d5944-7156-47d3-aad5-5b3824557d03,USD,cd4268ee-07aa-4c4d-a435-ec44ad2c76cb,NCAA MEN,NCAAM,c664ceee-1dc0-4743-a6d8-11fbdfb87f61,West Coast,WCC,c5a8d640-5093-4044-851d-2c562e929994,NCAA Division I,D1,https://www.ncaa.com/sites/default/files/images/logos/schools/s/san-diego.200.png,https://www.ncaa.com/sites/default/files/images/logos/schools/s/san-diego.70.png,https://www.ncaa.com/sites/default/files/images/logos/schools/s/san-diego.24.png,FALSE,56,3:20:00,23,51,45.1,6,18,33.3,17,33,0.515,4,4,9,44.4,5,29,34,12,23,6,4,0.52,27,0,,56,0,3,0,10,4,0,0,0,0,71,3:20:00,24,65,36.9,4,30,13.3,20,35,0.571,4,19,34,55.9,15,22,37,6,13,11,4,0.46,15,0,,71,0,17,0,31,7,0,0,0,0,2/20/2018 15:48:54
7160a0e0-bbc3-46ad-afc6-e4e6b5b90a51,2015,closed,full,,1/17/2016,1/17/2016 2:00:00,,,,,,2205,0,0,2,78434f3d-9b05-480c-b79f-4f228a0a155b,ee6551cc-e4b5-4e08-906e-6184b5f6ab71,Stockton,CA,1178 Larry Heller Dr,95211,USA,Alex G. Spanos Center,6150,FALSE,Flames,Bethesda,78434f3d-9b05-480c-b79f-4f228a0a155b,BETH,cd4268ee-07aa-4c4d-a435-ec44ad2c76cb,NCAA MEN,NCAAM,53630324-fd56-42e6-ba4c-dc040a31dfff,Division I West Region,D1-WEST,efdde904-b901-44af-a234-17712072b213,NCCAA,NCCAA,,,,Tigers,Pacific,c9570e17-c4fd-41e6-908a-1a083941319d,PAC,cd4268ee-07aa-4c4d-a435-ec44ad2c76cb,NCAA MEN,NCAAM,c664ceee-1dc0-4743-a6d8-11fbdfb87f61,West Coast,WCC,c5a8d640-5093-4044-851d-2c562e929994,NCAA Division I,D1,https://www.ncaa.com/sites/default/files/images/logos/schools/p/pacific.200.png,https://www.ncaa.com/sites/default/files/images/logos/schools/p/pacific.70.png,https://www.ncaa.com/sites/default/files/images/logos/schools/p/pacific.24.png,FALSE,30,3:20:00,12,53,22.6,1,14,7.1,11,39,0.282,5,5,9,55.6,5,15,20,9,21,10,4,0.43,13,0,,30,0,0,1,5,4,0,0,1,0,88,3:20:00,35,61,57.4,12,22,54.5,23,39,0.59,4,6,8,75,8,34,42,26,17,11,5,1.53,16,0,,88,21,16,1,30,3,0,0,0,0,2/20/2018 15:48:54
